timestamp,initial_cost,final_cost,iterations,num_residuals,num_landmarks,converged
1403715273762142976,894.609,713.462,7,967,133,1
1403715273812143104,894.609,713.462,7,967,133,1
1403715273862142976,894.609,713.462,7,967,133,1
1403715273912143104,894.609,713.462,7,967,133,1
1403715273962142976,894.609,713.462,7,967,133,1
1403715274012143104,894.609,713.462,7,967,133,1
1403715274062142976,894.609,713.462,7,967,133,1
1403715274112143104,894.609,713.462,7,967,133,1
1403715274162142976,894.609,713.462,7,967,133,1
1403715274212143104,894.609,713.462,7,967,133,1
1403715274262142976,2954.92,1459.03,101,1558,150,0
1403715274312143104,2954.92,1459.03,101,1558,150,0
1403715274362142976,2954.92,1459.03,101,1558,150,0
1403715274412143104,2954.92,1459.03,101,1558,150,0
1403715274462142976,2954.92,1459.03,101,1558,150,0
1403715274512143104,2954.92,1459.03,101,1558,150,0
1403715274562142976,2954.92,1459.03,101,1558,150,0
1403715274612143104,2954.92,1459.03,101,1558,150,0
1403715274662142976,2954.92,1459.03,101,1558,150,0
1403715274712143104,2954.92,1459.03,101,1558,150,0
1403715274762142976,4933.27,1914.76,10,2145,155,1
1403715274812143104,4933.27,1914.76,10,2145,155,1
1403715274862142976,4933.27,1914.76,10,2145,155,1
1403715274912143104,4933.27,1914.76,10,2145,155,1
1403715274962142976,4933.27,1914.76,10,2145,155,1
1403715275012143104,4933.27,1914.76,10,2145,155,1
1403715275062142976,4933.27,1914.76,10,2145,155,1
1403715275112143104,4933.27,1914.76,10,2145,155,1
1403715275162142976,4933.27,1914.76,10,2145,155,1
1403715275212143104,4933.27,1914.76,10,2145,155,1
1403715275262142976,2381.16,2032.37,55,2690,156,1
1403715275312143104,2381.16,2032.37,55,2690,156,1
1403715275362142976,2381.16,2032.37,55,2690,156,1
1403715275412143104,2381.16,2032.37,55,2690,156,1
1403715275462142976,2381.16,2032.37,55,2690,156,1
1403715275512143104,2381.16,2032.37,55,2690,156,1
1403715275562142976,2381.16,2032.37,55,2690,156,1
1403715275612143104,2381.16,2032.37,55,2690,156,1
1403715275662142976,2381.16,2032.37,55,2690,156,1
1403715275712143104,2381.16,2032.37,55,2690,156,1
1403715275762142976,2409.03,2331.84,6,3275,158,1
1403715275812143104,2409.03,2331.84,6,3275,158,1
1403715275862142976,2409.03,2331.84,6,3275,158,1
1403715275912143104,2409.03,2331.84,6,3275,158,1
1403715275962142976,2409.03,2331.84,6,3275,158,1
1403715276012143104,2409.03,2331.84,6,3275,158,1
1403715276062142976,2409.03,2331.84,6,3275,158,1
1403715276112143104,2409.03,2331.84,6,3275,158,1
1403715276162142976,2409.03,2331.84,6,3275,158,1
1403715276212143104,2409.03,2331.84,6,3275,158,1
1403715276262142976,258208,4283.79,35,4380,199,1
1403715276312143104,258208,4283.79,35,4380,199,1
1403715276362142976,258208,4283.79,35,4380,199,1
1403715276412143104,258208,4283.79,35,4380,199,1
1403715276462142976,258208,4283.79,35,4380,199,1
1403715276512143104,258208,4283.79,35,4380,199,1
1403715276562142976,258208,4283.79,35,4380,199,1
1403715276612143104,258208,4283.79,35,4380,199,1
1403715276662142976,258208,4283.79,35,4380,199,1
1403715276712143104,258208,4283.79,35,4380,199,1
1403715276762142976,73556.7,7180.75,7,5197,213,1
1403715276812143104,73556.7,7180.75,7,5197,213,1
1403715276862142976,73556.7,7180.75,7,5197,213,1
1403715276912143104,73556.7,7180.75,7,5197,213,1
1403715276962142976,73556.7,7180.75,7,5197,213,1
1403715277012143104,73556.7,7180.75,7,5197,213,1
1403715277062142976,73556.7,7180.75,7,5197,213,1
1403715277112143104,73556.7,7180.75,7,5197,213,1
1403715277162142976,73556.7,7180.75,7,5197,213,1
1403715277212143104,73556.7,7180.75,7,5197,213,1
1403715277262142976,78564.9,8873.65,11,5898,217,1
1403715277312143104,78564.9,8873.65,11,5898,217,1
1403715277362142976,78564.9,8873.65,11,5898,217,1
1403715277412143104,78564.9,8873.65,11,5898,217,1
1403715277462142976,78564.9,8873.65,11,5898,217,1
1403715277512143104,78564.9,8873.65,11,5898,217,1
1403715277562142976,78564.9,8873.65,11,5898,217,1
1403715277612143104,78564.9,8873.65,11,5898,217,1
1403715277662142976,78564.9,8873.65,11,5898,217,1
1403715277712143104,78564.9,8873.65,11,5898,217,1
1403715277762142976,67113.3,11058.5,10,6621,221,1
1403715277812143104,67113.3,11058.5,10,6621,221,1
1403715277862142976,67113.3,11058.5,10,6621,221,1
1403715277912143104,67113.3,11058.5,10,6621,221,1
1403715277962142976,67113.3,11058.5,10,6621,221,1
1403715278012143104,67113.3,11058.5,10,6621,221,1
1403715278062142976,67113.3,11058.5,10,6621,221,1
1403715278112143104,67113.3,11058.5,10,6621,221,1
1403715278162142976,67113.3,11058.5,10,6621,221,1
