timestamp,initial_cost,final_cost,iterations,num_residuals,num_landmarks,converged
1403715273762142976,69801.7,2.08238,7,255,47,1
1403715273812143104,69801.7,2.08238,7,255,47,1
1403715273862142976,69801.7,2.08238,7,255,47,1
1403715273912143104,69801.7,2.08238,7,255,47,1
1403715273962142976,69801.7,2.08238,7,255,47,1
1403715274012143104,69801.7,2.08238,7,255,47,1
1403715274062142976,69801.7,2.08238,7,255,47,1
1403715274112143104,69801.7,2.08238,7,255,47,1
1403715274162142976,69801.7,2.08238,7,255,47,1
1403715274212143104,69801.7,2.08238,7,255,47,1
1403715274262142976,6531.64,33.0626,6,378,59,1
1403715274312143104,6531.64,33.0626,6,378,59,1
1403715274362142976,6531.64,33.0626,6,378,59,1
1403715274412143104,6531.64,33.0626,6,378,59,1
1403715274462142976,6531.64,33.0626,6,378,59,1
1403715274512143104,6531.64,33.0626,6,378,59,1
1403715274562142976,6531.64,33.0626,6,378,59,1
1403715274612143104,6531.64,33.0626,6,378,59,1
1403715274662142976,6531.64,33.0626,6,378,59,1
1403715274712143104,6531.64,33.0626,6,378,59,1
1403715274762142976,69280.2,66.6297,8,719,83,1
1403715274812143104,69280.2,66.6297,8,719,83,1
1403715274862142976,69280.2,66.6297,8,719,83,1
1403715274912143104,69280.2,66.6297,8,719,83,1
1403715274962142976,69280.2,66.6297,8,719,83,1
1403715275012143104,69280.2,66.6297,8,719,83,1
1403715275062142976,69280.2,66.6297,8,719,83,1
1403715275112143104,69280.2,66.6297,8,719,83,1
1403715275162142976,69280.2,66.6297,8,719,83,1
1403715275212143104,69280.2,66.6297,8,719,83,1
1403715275262142976,61874.1,77.9281,6,1110,102,1
1403715275312143104,61874.1,77.9281,6,1110,102,1
1403715275362142976,61874.1,77.9281,6,1110,102,1
1403715275412143104,61874.1,77.9281,6,1110,102,1
1403715275462142976,61874.1,77.9281,6,1110,102,1
1403715275512143104,61874.1,77.9281,6,1110,102,1
1403715275562142976,61874.1,77.9281,6,1110,102,1
1403715275612143104,61874.1,77.9281,6,1110,102,1
1403715275662142976,61874.1,77.9281,6,1110,102,1
1403715275712143104,61874.1,77.9281,6,1110,102,1
1403715275762142976,62523.4,89.9801,7,1551,119,1
1403715275812143104,62523.4,89.9801,7,1551,119,1
1403715275862142976,62523.4,89.9801,7,1551,119,1
1403715275912143104,62523.4,89.9801,7,1551,119,1
1403715275962142976,62523.4,89.9801,7,1551,119,1
1403715276012143104,62523.4,89.9801,7,1551,119,1
1403715276062142976,62523.4,89.9801,7,1551,119,1
1403715276112143104,62523.4,89.9801,7,1551,119,1
1403715276162142976,62523.4,89.9801,7,1551,119,1
1403715276212143104,62523.4,89.9801,7,1551,119,1
1403715276262142976,54935.5,98.538,7,2024,132,1
1403715276312143104,54935.5,98.538,7,2024,132,1
1403715276362142976,54935.5,98.538,7,2024,132,1
1403715276412143104,54935.5,98.538,7,2024,132,1
1403715276462142976,54935.5,98.538,7,2024,132,1
1403715276512143104,54935.5,98.538,7,2024,132,1
1403715276562142976,54935.5,98.538,7,2024,132,1
1403715276612143104,54935.5,98.538,7,2024,132,1
1403715276662142976,54935.5,98.538,7,2024,132,1
1403715276712143104,54935.5,98.538,7,2024,132,1
1403715276762142976,13946.6,102.519,8,2331,139,1
1403715276812143104,13946.6,102.519,8,2331,139,1
1403715276862142976,13946.6,102.519,8,2331,139,1
1403715276912143104,13946.6,102.519,8,2331,139,1
1403715276962142976,13946.6,102.519,8,2331,139,1
1403715277012143104,13946.6,102.519,8,2331,139,1
1403715277062142976,13946.6,102.519,8,2331,139,1
1403715277112143104,13946.6,102.519,8,2331,139,1
1403715277162142976,13946.6,102.519,8,2331,139,1
1403715277212143104,13946.6,102.519,8,2331,139,1
1403715277262142976,55006.3,108.39,8,2842,151,1
1403715277312143104,55006.3,108.39,8,2842,151,1
1403715277362142976,55006.3,108.39,8,2842,151,1
1403715277412143104,55006.3,108.39,8,2842,151,1
1403715277462142976,55006.3,108.39,8,2842,151,1
1403715277512143104,55006.3,108.39,8,2842,151,1
1403715277562142976,55006.3,108.39,8,2842,151,1
1403715277612143104,55006.3,108.39,8,2842,151,1
1403715277662142976,55006.3,108.39,8,2842,151,1
1403715277712143104,55006.3,108.39,8,2842,151,1
1403715277762142976,386.133,113.423,3,3125,151,1
1403715277812143104,386.133,113.423,3,3125,151,1
1403715277862142976,386.133,113.423,3,3125,151,1
1403715277912143104,386.133,113.423,3,3125,151,1
1403715277962142976,386.133,113.423,3,3125,151,1
1403715278012143104,386.133,113.423,3,3125,151,1
1403715278062142976,386.133,113.423,3,3125,151,1
1403715278112143104,386.133,113.423,3,3125,151,1
1403715278162142976,386.133,113.423,3,3125,151,1
1403715278212143104,386.133,113.423,3,3125,151,1
1403715278262142976,32064.9,116.574,7,3570,157,1
1403715278312143104,32064.9,116.574,7,3570,157,1
1403715278362142976,32064.9,116.574,7,3570,157,1
1403715278412143104,32064.9,116.574,7,3570,157,1
1403715278462142976,32064.9,116.574,7,3570,157,1
1403715278512143104,32064.9,116.574,7,3570,157,1
1403715278562142976,32064.9,116.574,7,3570,157,1
1403715278612143104,32064.9,116.574,7,3570,157,1
1403715278662142976,32064.9,116.574,7,3570,157,1
1403715278712143104,32064.9,116.574,7,3570,157,1
1403715278762142976,1.59695e+06,196.732,16,4273,167,1
1403715278812143104,1.59695e+06,196.732,16,4273,167,1
1403715278862142976,1.57598e+06,297.839,11,5092,176,1
1403715278912143104,1.57598e+06,297.839,11,5092,176,1
1403715278962142976,1.57598e+06,297.839,11,5092,176,1
1403715279012143104,1.57598e+06,297.839,11,5092,176,1
1403715279062142976,1.57598e+06,297.839,11,5092,176,1
1403715279112143104,1.57598e+06,297.839,11,5092,176,1
1403715279162142976,1.57598e+06,297.839,11,5092,176,1
1403715279212143104,1.57598e+06,297.839,11,5092,176,1
1403715279262142976,1.57598e+06,297.839,11,5092,176,1
1403715279312143104,1.57598e+06,297.839,11,5092,176,1
1403715279362142976,850794,504.427,13,5837,188,1
1403715279412143104,850794,504.427,13,5837,188,1
1403715279462142976,850794,504.427,13,5837,188,1
1403715279512143104,850794,504.427,13,5837,188,1
1403715279562142976,850794,504.427,13,5837,188,1
1403715279612143104,850794,504.427,13,5837,188,1
1403715279662142976,850794,504.427,13,5837,188,1
1403715279712143104,850794,504.427,13,5837,188,1
1403715279762142976,850794,504.427,13,5837,188,1
1403715279812143104,850794,504.427,13,5837,188,1
1403715279862142976,564378,1078.61,16,6450,198,1
1403715279912143104,564378,1078.61,16,6450,198,1
1403715279962142976,564378,1078.61,16,6450,198,1
1403715280012143104,564378,1078.61,16,6450,198,1
1403715280062142976,564378,1078.61,16,6450,198,1
1403715280112143104,564378,1078.61,16,6450,198,1
1403715280162142976,564378,1078.61,16,6450,198,1
1403715280212143104,564378,1078.61,16,6450,198,1
1403715280262142976,564378,1078.61,16,6450,198,1
