# timestamp tx ty tz qx qy qz qw
1403715273.262143135 0.878612000 2.142470000 0.947262000 -0.828459000 -0.058956000 -0.553641000 0.060514000
1403715273.312143087 0.879043187 2.141864034 0.947191793 -0.828472696 -0.058931169 -0.553620555 0.060534201
1403715273.362143040 0.879384906 2.141463109 0.947197891 -0.828478287 -0.058894171 -0.553616649 0.060529411
1403715273.412143230 0.879587808 2.141246505 0.947270285 -0.828488507 -0.058867476 -0.553602520 0.060544733
1403715273.462142944 0.879661571 2.141246467 0.947425158 -0.828490017 -0.058837911 -0.553600570 0.060570630
1403715273.512143135 0.879601980 2.141432627 0.947634700 -0.828498325 -0.058784279 -0.553590630 0.060599897
1403715273.562143087 0.879414648 2.141779679 0.947919208 -0.828500528 -0.058635284 -0.553609611 0.060540705
1403715273.612143278 0.879152753 2.142299097 0.948256814 -0.828556696 -0.058344014 -0.553571514 0.060401632
1403715273.662142992 0.878858171 2.143019818 0.948654775 -0.828569645 -0.058599971 -0.553522442 0.060425935
1403715273.712143183 0.878501852 2.143866174 0.949056833 -0.828591005 -0.058464667 -0.553499071 0.060478151
1403715273.762143135 0.878068528 2.144748237 0.949162027 -0.828686321 -0.058660177 -0.553345202 0.060390837
1403715273.812143087 0.877569862 2.145924906 0.949629727 -0.828704979 -0.058619759 -0.553305651 0.060536249
1403715273.862143040 0.876988158 2.147231686 0.950093137 -0.828682994 -0.058690261 -0.553330265 0.060543917
1403715273.912143230 0.876324791 2.148619651 0.950501617 -0.828731114 -0.058362610 -0.553287774 0.060590312
1403715273.962142944 0.875582677 2.150118384 0.950968535 -0.828751384 -0.058252712 -0.553293932 0.060362152
1403715274.012143135 0.874798877 2.151662143 0.951456464 -0.828828063 -0.057700075 -0.553307538 0.059711896
1403715274.062143087 0.873868347 2.153767985 0.951999563 -0.828745567 -0.057941015 -0.553310053 0.060593807
1403715274.112143278 0.872792840 2.156016149 0.952653340 -0.828634557 -0.057951631 -0.553452661 0.060799110
1403715274.162142992 0.871695242 2.158520891 0.953281374 -0.828679936 -0.058029699 -0.553334550 0.061180003
1403715274.212143183 0.870544234 2.161272969 0.953934167 -0.828655461 -0.058287217 -0.553288512 0.061681039
1403715274.262143135 0.873674311 2.156054692 0.952888705 -0.829404167 -0.055693503 -0.552730036 0.058961588
1403715274.312143087 0.872755229 2.158484311 0.953532178 -0.829569184 -0.055574449 -0.552501523 0.058894120
